filename,total,major,minor,own,bugs
junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/hierarchical/CompositeLock.java,0,0,0,0,0
junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/hierarchical/DefaultParallelExecutionConfigurationStrategy.java,0,0,0,0,0
junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/hierarchical/HierarchicalTestEngine.java,1,1,0,1.0,0
junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/hierarchical/NopLock.java,0,0,0,0,0
junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/hierarchical/NodeTestTask.java,0,0,0,0,0
junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/hierarchical/SameThreadHierarchicalTestExecutorService.java,0,0,0,0,0
junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/hierarchical/ForkJoinPoolHierarchicalTestExecutorService.java,0,0,0,0,0
junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/hierarchical/DefaultParallelExecutionConfiguration.java,0,0,0,0,0
junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/hierarchical/SingleTestExecutor.java,2,2,0,0.5,0
junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/hierarchical/SingleLock.java,0,0,0,0,0
junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/hierarchical/package-info.java,0,0,0,0,0
junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/config/PrefixedConfigurationParameters.java,0,0,0,0,0
junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/config/package-info.java,0,0,0,0,0
junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/descriptor/ClassSource.java,2,2,0,0.5,0
junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/descriptor/ClasspathResourceSource.java,2,2,0,0.5,0
junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/descriptor/PackageSource.java,3,3,0,0.3333333333333333,0
junit5/junit-platform-engine/src/main/java/org/junit/platform/engine/support/descriptor/DefaultUriSource.java,0,0,0,0,0
